Study_ID,Cancer_or_Task,SVM_Model,Reported_Metric,Reported_Value,Reported_Confidence_Interval,Dataset_or_Cohort,Dataset_Level,Validation_Category,Evidence_Location,Notes
S083,CRC versus colorectal adenoma,Linear SVM; seven-peak panel,Specificity,0.83,0.79-0.87,Repeated blind test n=30 per repetition,Repeated internal 3-fold CV,Internal,Results/Table 4,"CRC-versus-healthy classifier was ANN, not SVM."
S083,CRC versus colorectal adenoma,Linear SVM; seven-peak panel,PPV,0.89,0.86-0.92,Repeated blind test n=30 per repetition,Repeated internal 3-fold CV,Internal,Results/Table 4,"CRC-versus-healthy classifier was ANN, not SVM."
S084,Ovarian cancer versus healthy,RBF SVM; five-peak panel,Accuracy,0.967,,10-fold CV test predictions,10-fold cross-validation,Internal,Results/Table 2,Small cohort; sequential peak selection and CV were not clearly nested.
S084,Ovarian cancer versus healthy,RBF SVM; five-peak panel,Sensitivity,0.967,,10-fold CV test predictions,10-fold cross-validation,Internal,Results/Table 2,Small cohort; sequential peak selection and CV were not clearly nested.
S084,Ovarian cancer versus healthy,RBF SVM; five-peak panel,Specificity,0.967,,10-fold CV test predictions,10-fold cross-validation,Internal,Results/Table 2,Small cohort; sequential peak selection and CV were not clearly nested.
S084,Ovarian cancer versus healthy,RBF SVM; five-peak panel,PPV,0.967,,10-fold CV test predictions,10-fold cross-validation,Internal,Results/Table 2,Small cohort; sequential peak selection and CV were not clearly nested.
S085,PDAC vs CP+healthy,SVM d-signature,AUC,0.96,0.931-0.988,Training cohort n=188,Training,Internal,Table 3,
S085,PDAC vs CP+healthy,SVM d-signature,AUC,0.95,0.910-0.991,Internal validation n=135,Internal validation,Internal,Table 3,
S085,PDAC vs CP+healthy,SVM d-signature,AUC,0.936,0.889-0.983,External cohort n=178,External validation,External,Table 3,
S085,PDAC vs CP+healthy,SVM d-signature,Sensitivity,0.9368,0.8676-0.9765,External cohort n=178,External validation,External,Table 3,
S085,PDAC vs CP+healthy,SVM d-signature,Specificity,0.9157,0.8339-0.9654,External cohort n=178,External validation,External,Table 3,
S085,PDAC vs CP+healthy,SVM d-signature,Accuracy,0.9269,0.8783-0.9605,External cohort n=178,External validation,External,Table 3,
S085,Stage I/II PDAC vs CP+healthy,SVM d-signature,AUC,0.906,0.838-0.975,External cohort,External validation,External,Table 3,
S085,Stage I/II PDAC vs CP+healthy,SVM d-signature,Sensitivity,0.8846,0.7656-0.9565,External cohort,External validation,External,Table 3,
S085,Stage I/II PDAC vs CP+healthy,SVM d-signature,Specificity,0.9157,0.8339-0.9654,External cohort,External validation,External,Table 3,
S085,Stage I/II PDAC vs CP+healthy,SVM d-signature,Accuracy,0.9037,0.8410-0.9477,External cohort,External validation,External,Table 3,
S085,PDAC vs chronic pancreatitis,SVM d-signature,AUC,0.953,0.915-0.991,External cohort,External validation,External,Table 3,
S085,PDAC vs chronic pancreatitis,SVM d-signature,Sensitivity,0.9368,0.8676-0.9765,External cohort,External validation,External,Table 3,
S085,PDAC vs chronic pancreatitis,SVM d-signature,Specificity,0.9,0.7634-0.9721,External cohort,External validation,External,Table 3,
S085,PDAC vs chronic pancreatitis,SVM d-signature,Accuracy,0.9259,0.8680-0.9639,External cohort,External validation,External,Table 3,
S086,Platelet multiclass dataset 11,EPSVM alpha=0.1,Mean NER,0.8928,,GSE68086 Data11,Repeated same-dataset test,Internal,Table 6,Higher is better; random two-thirds/one-third splits repeated 30 times
S086,Platelet multiclass dataset 12,EPSVM alpha=0.1,Mean NER,0.8216,,GSE68086 Data12,Repeated same-dataset test,Internal,Table 6,Higher is better; random two-thirds/one-third splits repeated 30 times
S086,Platelet multiclass dataset 13,EPSVM alpha=0.1,Mean NER,0.8153,,GSE68086 Data13,Repeated same-dataset test,Internal,Table 6,Higher is better; random two-thirds/one-third splits repeated 30 times
S086,Platelet multiclass dataset 14,EPSVM alpha=0.1,Mean NER,0.8067,,GSE68086 Data14,Repeated same-dataset test,Internal,Table 6,Higher is better; random two-thirds/one-third splits repeated 30 times
S086,Platelet multiclass dataset 15,EPSVM alpha=0.1,Mean NER,0.8133,,GSE68086 Data15,Repeated same-dataset test,Internal,Table 6,Higher is better; random two-thirds/one-third splits repeated 30 times
S086,Platelet multiclass dataset 11,EPSVM alpha=0.5,Mean NER,0.8758,,GSE68086 Data11,Repeated same-dataset test,Internal,Table 6,Higher is better; random two-thirds/one-third splits repeated 30 times
S086,Platelet multiclass dataset 12,EPSVM alpha=0.5,Mean NER,0.8203,,GSE68086 Data12,Repeated same-dataset test,Internal,Table 6,Higher is better; random two-thirds/one-third splits repeated 30 times
S086,Platelet multiclass dataset 13,EPSVM alpha=0.5,Mean NER,0.8184,,GSE68086 Data13,Repeated same-dataset test,Internal,Table 6,Higher is better; random two-thirds/one-third splits repeated 30 times
S086,Platelet multiclass dataset 14,EPSVM alpha=0.5,Mean NER,0.7943,,GSE68086 Data14,Repeated same-dataset test,Internal,Table 6,Higher is better; random two-thirds/one-third splits repeated 30 times
S086,Platelet multiclass dataset 15,EPSVM alpha=0.5,Mean NER,0.8014,,GSE68086 Data15,Repeated same-dataset test,Internal,Table 6,Higher is better; random two-thirds/one-third splits repeated 30 times
S086,Platelet multiclass dataset 11,EPSVM alpha=0.9,Mean NER,0.9035,,GSE68086 Data11,Repeated same-dataset test,Internal,Table 6,Higher is better; random two-thirds/one-third splits repeated 30 times
S086,Platelet multiclass dataset 12,EPSVM alpha=0.9,Mean NER,0.8391,,GSE68086 Data12,Repeated same-dataset test,Internal,Table 6,Higher is better; random two-thirds/one-third splits repeated 30 times
S086,Platelet multiclass dataset 13,EPSVM alpha=0.9,Mean NER,0.8269,,GSE68086 Data13,Repeated same-dataset test,Internal,Table 6,Higher is better; random two-thirds/one-third splits repeated 30 times
S086,Platelet multiclass dataset 14,EPSVM alpha=0.9,Mean NER,0.803,,GSE68086 Data14,Repeated same-dataset test,Internal,Table 6,Higher is better; random two-thirds/one-third splits repeated 30 times
S086,Platelet multiclass dataset 15,EPSVM alpha=0.9,Mean NER,0.7904,,GSE68086 Data15,Repeated same-dataset test,Internal,Table 6,Higher is better; random two-thirds/one-third splits repeated 30 times
S086,Platelet multiclass dataset 11,SVM-RFE+SVM,Mean NER,0.8624,,GSE68086 Data11,Repeated same-dataset test,Internal,Table 6,Higher is better; random two-thirds/one-third splits repeated 30 times
S086,Platelet multiclass dataset 12,SVM-RFE+SVM,Mean NER,0.7996,,GSE68086 Data12,Repeated same-dataset test,Internal,Table 6,Higher is better; random two-thirds/one-third splits repeated 30 times
S086,Platelet multiclass dataset 13,SVM-RFE+SVM,Mean NER,0.7947,,GSE68086 Data13,Repeated same-dataset test,Internal,Table 6,Higher is better; random two-thirds/one-third splits repeated 30 times
S086,Platelet multiclass dataset 14,SVM-RFE+SVM,Mean NER,0.7432,,GSE68086 Data14,Repeated same-dataset test,Internal,Table 6,Higher is better; random two-thirds/one-third splits repeated 30 times
S086,Platelet multiclass dataset 15,SVM-RFE+SVM,Mean NER,0.7599,,GSE68086 Data15,Repeated same-dataset test,Internal,Table 6,Higher is better; random two-thirds/one-third splits repeated 30 times
S086,Platelet multiclass dataset 11,ReliefF+SVM,Mean NER,0.8708,,GSE68086 Data11,Repeated same-dataset test,Internal,Table 6,Higher is better; random two-thirds/one-third splits repeated 30 times
S086,Platelet multiclass dataset 12,ReliefF+SVM,Mean NER,0.7386,,GSE68086 Data12,Repeated same-dataset test,Internal,Table 6,Higher is better; random two-thirds/one-third splits repeated 30 times
S086,Platelet multiclass dataset 13,ReliefF+SVM,Mean NER,0.798,,GSE68086 Data13,Repeated same-dataset test,Internal,Table 6,Higher is better; random two-thirds/one-third splits repeated 30 times
S086,Platelet multiclass dataset 14,ReliefF+SVM,Mean NER,0.7346,,GSE68086 Data14,Repeated same-dataset test,Internal,Table 6,Higher is better; random two-thirds/one-third splits repeated 30 times
S086,Platelet multiclass dataset 15,ReliefF+SVM,Mean NER,0.7603,,GSE68086 Data15,Repeated same-dataset test,Internal,Table 6,Higher is better; random two-thirds/one-third splits repeated 30 times
S091,Malignant vs benign breast disease,Multimodal SVM,AUC,0.9979,,86 training+validation / 5 test,Internal test,Internal,Figure 5(f),Best result selected across many algorithms and splits
S091,Malignant vs benign breast disease,Multimodal SVM,AUC,0.8571,,61 training+validation / 30 test,Internal test,Internal,Figure 5(f),
S094,HCC vs chronic hepatitis/cirrhosis,22-gene Lasso-SVM,AUC,0.94,0.908-0.964,qPCR cohort n=316,Cross-validation,Internal,Figure 3,
S094,HCC vs chronic hepatitis/cirrhosis,22-gene Lasso-SVM,Sensitivity,0.88,,qPCR cohort n=316,Cross-validation,Internal,Figure 3,
S094,HCC vs chronic hepatitis/cirrhosis,22-gene Lasso-SVM,Specificity,0.883,,qPCR cohort n=316,Cross-validation,Internal,Figure 3,
S094,AFP-negative HCC vs controls,22-gene Lasso-SVM,AUC,0.93,0.888-0.960,AFP-negative qPCR subgroup,Cross-validation,Internal,Figure 3,
S094,AFP-negative HCC vs controls,22-gene Lasso-SVM,Sensitivity,0.913,,AFP-negative qPCR subgroup,Cross-validation,Internal,Figure 3,
S094,AFP-negative HCC vs controls,22-gene Lasso-SVM,Specificity,0.8324,,AFP-negative qPCR subgroup,Cross-validation,Internal,Figure 3,
S096,Glioma vs normal tissue,Linear PCA-SVM (PC1+PC2+PC6),Sensitivity,1,,241 spectra from 95 samples,Leave-one-spectrum-out CV,Internal,Abstract/section 2.7,AUC reported as approximately 1.0
S096,Glioma vs normal tissue,Linear PCA-SVM (PC1+PC2+PC6),Specificity,0.963,,241 spectra from 95 samples,Leave-one-spectrum-out CV,Internal,Abstract/section 2.7,AUC reported as approximately 1.0
S096,Glioma vs normal tissue,Linear PCA-SVM (PC1+PC2+PC6),Accuracy,0.996,,241 spectra from 95 samples,Leave-one-spectrum-out CV,Internal,Abstract/section 2.7,AUC reported as approximately 1.0
S096,Glioma vs normal tissue,Linear PCA-SVM (PC1+PC2+PC6),AUC,1,Approximate,241 spectra from 95 samples,Leave-one-spectrum-out CV,Internal,Abstract/section 2.7,AUC reported as approximately 1.0
S096,Glioma vs normal tissue,Linear PCA-SVM (PC1+PC2),Sensitivity,0.963,,241 spectra,Leave-one-spectrum-out CV,Internal,Figure 4/section 2.7,
S096,Glioma vs normal tissue,Linear PCA-SVM (PC1+PC2),Specificity,0.741,,241 spectra,Leave-one-spectrum-out CV,Internal,Figure 4/section 2.7,
S096,Glioma vs normal tissue,Linear PCA-SVM (PC1+PC2),Accuracy,0.938,,241 spectra,Leave-one-spectrum-out CV,Internal,Figure 4/section 2.7,
S096,Glioma vs normal tissue,Linear PCA-SVM (PC1+PC2),AUC,0.968,,241 spectra,Leave-one-spectrum-out CV,Internal,Figure 4/section 2.7,
S096,Normal vs low-grade vs high-grade glioma,Linear PCA-SVM,Normal-class accuracy,0.963,,241 spectra,Internal classification,Internal,Abstract/section 2.7,No patient-level validation
S096,Normal vs low-grade vs high-grade glioma,Linear PCA-SVM,Low-grade-class accuracy,0.537,,241 spectra,Internal classification,Internal,Abstract/section 2.7,No patient-level validation
S096,Normal vs low-grade vs high-grade glioma,Linear PCA-SVM,High-grade-class accuracy,0.841,,241 spectra,Internal classification,Internal,Abstract/section 2.7,No patient-level validation
S096,Normal vs low-grade vs high-grade glioma,Linear PCA-SVM,Overall accuracy,0.751,,241 spectra,Internal classification,Internal,Abstract/section 2.7,No patient-level validation
S033,Papillary thyroid cancer diagnosis,SVM,Accuracy,0.92,NR,Testing set,Held-out internal test,Internal only,Abstract/sample classification,SVM had best diagnostic effect among five models.
S038,Liver cancer/stage classification,PLS-SVM,Accuracy,0.875,NR,Unknown testing set,Held-out internal test,Internal only,Abstract/results,Spectroscopy-derived subgroup.
S072,Primary myelofibrosis vs healthy,GS-SVM,Accuracy,0.923-1.00,NR,FTIR ranges,Internal validation unclear,Internal only,Abstract,Accuracy varied by FTIR range.
S073,ESCC screening,SVM,Accuracy,0.851,NR,LOOCV,Internal validation,Internal only,Abstract,SVM model with four protein peaks.
S073,ESCC screening,SVM,Sensitivity,0.861,NR,LOOCV,Internal validation,Internal only,Abstract,SVM model with four protein peaks.
S073,ESCC screening,SVM,Specificity,0.842,NR,LOOCV,Internal validation,Internal only,Abstract,SVM model with four protein peaks.
S073,ESCC screening,SVM,PPV,0.838,NR,LOOCV,Internal validation,Internal only,Abstract,Positive predictive value.
